Wavelength,AbsorptionCoeff
428.905,8.288164221
429.552,8.238798249
430.2,8.205530907
430.847,8.173334539
431.495,8.114082687
432.142,8.047937219
432.79,7.948277756
433.438,7.891338387
434.085,7.821743959
434.733,7.739648743
435.381,7.675158526
436.028,7.652305253
436.676,7.644252212
437.324,7.596429403
437.971,7.562613636
438.619,7.507818089
439.267,7.470604844
439.915,7.395253028
440.562,7.308175423
441.21,7.216107153
441.858,7.119419985
442.506,7.051728585
443.154,6.974283119
443.801,6.9165061
444.449,6.854789446
445.097,6.803472301
445.745,6.747270532
446.393,6.709618793
447.041,6.655877236
447.689,6.604130977
448.337,6.538318417
448.984,6.466253483
449.632,6.405668821
450.28,6.331102277
450.928,6.298237653
451.576,6.241930181
452.224,6.19863888
452.872,6.145302113
453.52,6.096227057
454.168,6.05069267
454.816,5.971182152
455.464,5.905248976
456.112,5.828109949
456.761,5.772051126
457.409,5.71931628
458.057,5.659906648
458.705,5.614502156
459.353,5.56457328
460.001,5.52314855
460.649,5.458054717
461.297,5.370353142
461.946,5.29525767
462.594,5.209612673
463.242,5.116614137
463.89,5.00255383
464.538,4.904588422
465.187,4.82609048
465.835,4.740478801
466.483,4.656418662
467.131,4.583534445
467.78,4.531267699
468.428,4.480791559
469.076,4.426849196
469.725,4.359964629
470.373,4.289093213
471.021,4.206053842
471.67,4.125042933
472.318,4.048649702
472.967,3.965311553
473.615,3.887400853
474.263,3.804556982
474.912,3.740710467
475.56,3.681007332
476.209,3.620080121
476.857,3.547826091
477.506,3.485567422
478.154,3.442855459
478.803,3.399763685
479.451,3.358493153
480.1,3.310499574
480.748,3.278628326
481.397,3.23883755
482.045,3.189346772
482.694,3.13893276
483.343,3.077009752
483.991,3.014072084
484.64,2.950524725
485.288,2.890888026
485.937,2.837464407
486.586,2.781290705
487.234,2.72999167
487.883,2.68535196
488.532,2.636353006
489.18,2.588264873
489.829,2.528260833
490.478,2.47509502
491.127,2.428608114
491.775,2.383852483
492.424,2.341028319
493.073,2.29545017
493.722,2.265838838
494.371,2.23383954
495.019,2.192066777
495.668,2.145916401
496.317,2.098445564
496.966,2.062682427
497.615,2.021279082
498.264,1.980648607
498.913,1.945985677
499.561,1.919091941
500.21,1.904064615
500.859,1.880980389
501.508,1.854960281
502.157,1.820855409
502.806,1.786129902
503.455,1.754755977
504.104,1.720240416
504.753,1.69137141
505.402,1.664105111
506.051,1.647561509
506.7,1.633717853
507.349,1.609045639
507.998,1.576592307
508.647,1.546706493
509.297,1.522456807
509.946,1.502851819
510.595,1.482232407
511.244,1.467008098
511.893,1.459571734
512.542,1.445237913
513.191,1.43211707
513.841,1.408691723
514.49,1.386076902
515.139,1.363175774
515.788,1.337177557
516.437,1.317759702
517.087,1.295606801
517.736,1.277231116
518.385,1.260187619
519.035,1.24573195
519.684,1.237826378
520.333,1.225343096
520.982,1.212126745
521.632,1.198692424
522.281,1.182768423
522.931,1.167538375
523.58,1.150617866
524.229,1.14151273
524.879,1.134569848
525.528,1.123734137
526.177,1.111075869
526.827,1.095634871
527.476,1.080247575
528.126,1.06141378
528.775,1.04542073
529.425,1.036197213
530.074,1.030106877
530.724,1.02151064
531.373,1.01045424
532.023,1.001871214
532.672,0.994302788
533.322,0.988823652
533.972,0.984984772
534.621,0.981143915
535.271,0.979714329
535.92,0.971880933
536.57,0.961022694
537.22,0.945409295
537.869,0.931017253
538.519,0.922216787
539.169,0.909858661
539.818,0.899361432
540.468,0.888069497
541.118,0.878736304
541.767,0.868448058
542.417,0.856754775
543.067,0.848947143
543.717,0.842503978
544.366,0.837631014
545.016,0.833138644
545.666,0.829797301
546.316,0.828105169
546.966,0.823211951
547.616,0.813521076
548.265,0.799466289
548.915,0.786864743
549.565,0.777923175
550.215,0.770456738
550.865,0.764304477
551.515,0.761271074
552.165,0.760388762
552.815,0.759628803
553.465,0.754080177
554.115,0.745181368
554.765,0.73530569
555.415,0.728209365
556.065,0.724623521
556.715,0.720949655
557.365,0.71613583
558.015,0.710403763
558.665,0.706438208
559.315,0.702302928
559.965,0.698416497
560.615,0.69340084
561.265,0.688102532
561.915,0.683168389
562.565,0.677705852
563.215,0.672236068
563.866,0.66373212
564.516,0.656763144
565.166,0.651232118
565.816,0.648705171
566.466,0.645336492
567.116,0.640505493
567.767,0.637341285
568.417,0.632641219
569.067,0.630397679
569.717,0.627890832
570.368,0.630884123
571.018,0.633838017
572.319,0.637453943
572.969,0.633177745
573.619,0.62284176
574.27,0.607574566
574.92,0.59152675
575.57,0.578141877
576.221,0.566835815
576.871,0.562982471
577.522,0.561877988
578.172,0.565624851
578.823,0.566804478
579.473,0.568952309
580.123,0.566157311
580.774,0.564206519
581.424,0.564047832
582.075,0.563063715
582.725,0.564165976
583.376,0.561087343
584.026,0.557218324
584.677,0.550362712
585.328,0.544725123
585.978,0.541587423
586.629,0.534517496
587.279,0.526931511
587.93,0.520644779
588.581,0.516857334
589.231,0.512589624
589.882,0.50427665
590.533,0.496462007
591.183,0.490643564
591.834,0.488477251
592.485,0.488134063
593.135,0.485709824
593.786,0.485873847
594.437,0.484902391
595.088,0.486940205
595.738,0.481621622
596.389,0.476824777
597.04,0.472160672
597.691,0.469444929
598.342,0.468341962
598.992,0.462852315
599.643,0.464342916
600.294,0.465662969
600.945,0.471396776
601.596,0.475533528
602.247,0.480355299
602.898,0.487212635
603.549,0.489310373
604.2,0.489289669
604.85,0.485003191
605.501,0.482970809
606.152,0.480560324
606.803,0.476819027
607.454,0.473468859
608.105,0.470491587
608.756,0.470238997
609.407,0.466674726
610.058,0.464121906
610.71,0.459174692
611.361,0.457531507
612.012,0.453957212
612.663,0.448004534
613.314,0.439396894
613.965,0.427971912
614.616,0.422087522
615.267,0.419363492
615.918,0.423246551
616.57,0.427538366
617.221,0.432544187
617.872,0.43672824
618.523,0.438797825
619.174,0.435854256
619.826,0.430561617
620.477,0.426587807
621.128,0.426809293
621.779,0.432472818
622.431,0.437126506
623.082,0.440932072
623.733,0.440439729
624.385,0.437147085
625.036,0.432103392
625.687,0.426808291
626.339,0.424809444
626.99,0.424991146
627.641,0.425062291
628.293,0.426571528
628.944,0.42859395
629.596,0.428694474
630.247,0.42810458
630.899,0.428781328
631.55,0.434036386
632.201,0.439595869
632.853,0.444173612
633.504,0.444780936
634.156,0.441548799
634.807,0.433669849
635.459,0.425374215
636.111,0.420575216
636.762,0.420182965
637.414,0.425798418
638.065,0.434705639
638.717,0.444606779
639.368,0.449660143
640.02,0.452127912
640.672,0.451139343
641.323,0.450836955
641.975,0.449607821
642.627,0.450174733
643.278,0.454979801
643.93,0.46028026
644.582,0.466055491
645.234,0.466241339
645.885,0.464125665
646.537,0.463757135
647.189,0.463946837
647.841,0.464600688
648.492,0.464135729
649.144,0.466904007
649.796,0.471292779
650.448,0.472443587
651.1,0.471711212
651.751,0.468275311
652.403,0.466487974
653.055,0.463810971
653.707,0.460651288
654.359,0.455179952
655.011,0.448285858
655.663,0.441957
656.315,0.434700284
656.967,0.429075308
657.619,0.425242086
658.271,0.423758113
658.923,0.422368615
659.575,0.419761453
660.227,0.418305208
660.879,0.414375999
661.531,0.412836491
662.183,0.411505778
662.835,0.414101621
663.487,0.417141451
664.139,0.42042575
664.791,0.42582885
665.443,0.431948611
666.095,0.440650346
666.747,0.446380116
667.4,0.45101156
668.052,0.45235875
668.704,0.453677587
669.356,0.451842907
670.008,0.450960897
670.661,0.45054538
671.313,0.45308891
671.965,0.45765596
672.617,0.461934363
673.27,0.464357381
673.922,0.46398706
674.574,0.461657292
675.226,0.457498566
675.879,0.448707109
676.531,0.438278928
677.183,0.430491726
677.836,0.423972918
678.488,0.419408447
679.14,0.412929726
679.793,0.408603228
680.445,0.404662
681.098,0.397633851
681.75,0.389911829
682.403,0.380204829
683.055,0.374960462
683.707,0.371346312
684.36,0.370463777
685.012,0.368985306
685.665,0.367680296
686.317,0.365049245
686.97,0.362092934
687.623,0.357375111
688.275,0.352255024
688.928,0.348641005
689.58,0.343825746
690.233,0.341682858
690.885,0.338810208
691.538,0.338098528
692.191,0.334896856
692.843,0.331652442
693.496,0.329410521
694.149,0.327811387
694.801,0.325436027
695.454,0.323226432
696.107,0.322247753
696.759,0.324068314
697.412,0.326298491
698.065,0.327225112
698.718,0.326514603
699.37,0.324490541
700.023,0.323286496
700.676,0.321203011
701.329,0.319477932
701.982,0.319411281
